,id,title,description,imdb_rating
0,0,Simpsons Roasting on an Open Fire,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.    ,8.1
1,1,Bart the Genius,Bart ends up at a school for gifted children after cheating on an IQ test.    ,7.7
2,2,Homer's Odyssey,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.    ",7.3
3,3,There's No Disgrace Like Home,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.    ",7.7
4,4,Bart the General,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.    ",7.9
5,5,Moaning Lisa,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.    ",7.6
6,6,The Call of the Simpsons,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.    ",7.7
7,7,The Telltale Head,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.    ,7.6
8,8,Life on the Fast Lane,Marge contemplates an affair with a handsome bowling instructor.    ,7.4
9,9,Homer's Night Out,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.    ",7.3
10,10,The Crepes of Wrath,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.    ",7.7
11,11,Krusty Gets Busted,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.    ",8.3
12,12,Some Enchanted Evening,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.    ",7.7
13,13,Bart Gets an 'F',"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.    ",8.2
14,14,Simpson and Delilah,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.    ,8.2
15,15,Treehouse of Horror,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.    ",8.2
16,16,Two Cars in Every Garage and Three Eyes on Every Fish,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.    ",8.0
17,17,Dancin' Homer,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.    ,7.3
18,18,Dead Putting Society,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.    ",7.9
19,19,Bart vs. Thanksgiving,"On Thanksgiving, Bart runs away after fighting with Lisa.    ",7.7
20,20,Bart the Daredevil,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.    ",8.3
21,21,Itchy & Scratchy & Marge,"Marge becomes a crusader against cartoon violence after ""Itchy and Scratchy"" seemingly inspires Maggie to attack Homer.    ",8.1
22,22,Bart Gets Hit by a Car,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.    ",7.7
23,23,"One Fish, Two Fish, Blowfish, Blue Fish","After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.    ",8.8
24,24,The Way We Was,Homer and Marge tell the story of how they met and fell in love in high school.    ,8.2
25,25,Homer vs. Lisa and the 8th Commandment,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.    ",8.0
26,26,Principal Charming,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead.    ",7.4
27,27,"Oh Brother, Where Art Thou?","After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him.    ",8.3
28,28,Bart's Dog Gets an 'F',"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.    ",7.4
29,29,Old Money,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.    ",7.6
30,30,Brush with Greatness,"After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide.    ",7.9
31,31,Lisa's Substitute,Lisa has a crush on her substitute teacher; Bart decides to run for class president.    ,8.6
32,32,The War of the Simpsons,Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.    ,7.8
33,33,Three Men and a Comic Book,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.    ",8.3
34,34,Blood Feud,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.    ",7.8
35,35,Stark Raving Dad,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.    ,8.6
36,36,Mr. Lisa Goes to Washington,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.    ",7.7
37,37,When Flanders Failed,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.    ",8.2
38,38,Bart the Murderer,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.    ",8.6
39,39,Homer Defined,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.    ",8.4
40,40,"Like Father, Like Clown",Bart and Lisa try to reunite Krusty the Clown with his father.    ,7.6
41,41,Treehouse of Horror II,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.    ",8.2
42,42,Lisa's Pony,Homer buys Lisa a pony that the family can ill afford.    ,7.9
43,43,Saturdays of Thunder,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.    ",7.9
44,44,Flaming Moe's,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.    ",8.8
45,45,Burns Verkaufen der Kraftwerk,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.    ",8.2
46,46,I Married Marge,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.    ",8.3
47,47,Radio Bart,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.    ",8.5
48,48,Lisa the Greek,Homer uses Lisa (and her prognostic skills) to help him bet on football games.    ,8.0
49,49,Homer Alone,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.    ",8.0
50,50,Bart the Lover,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.    ",8.3
51,51,Homer at the Bat,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.    ",8.7
52,52,Separate Vocations,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.    ",8.2
53,53,Dog of Death,"After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.    ",7.7
54,54,Colonel Homer,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.    ",8.0
55,55,Black Widower,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.    ,8.3
56,56,The Otto Show,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.    ",7.7
57,57,Bart's Friend Falls in Love,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.    ,7.7
58,58,"Brother, Can You Spare Two Dimes?","After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.    ",8.2
59,59,Kamp Krusty,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.    ",8.5
60,60,A Streetcar Named Marge,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.    ",8.1
61,61,Homer the Heretic,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.    ",8.9
62,62,Lisa the Beauty Queen,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.    ,7.7
63,63,Treehouse of Horror III,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.    ,8.4
64,64,Itchy & Scratchy: The Movie,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie.    ",8.2
65,65,Marge Gets a Job,"When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart ""cries wolf"" to avoid taking a test.    ",7.8
66,66,New Kid on the Block,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.    ",8.2
67,67,Mr. Plow,"Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work.    ",8.8
68,68,Lisa's First Word,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers.    ",8.7
69,69,Homer's Triple Bypass,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs.    ",8.6
70,70,Marge vs. the Monorail,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell.    ",9.1
71,71,Selma's Choice,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.    ",8.0
72,72,Brother from the Same Planet,"When Bart gets tired of Homer's horrible parenting skills, he enrolls in the ""Bigger Brother"" program where he's assigned a fantastic role model.    ",8.1
73,73,I Love Lisa,"Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her.    ",8.4
74,74,Duffless,"After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster.    ",8.3
75,75,Last Exit to Springfield,"When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike.    ",9.0
76,76,So It's Come to This: A Simpsons Clip Show,"As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships.    ",7.0
77,77,The Front,"Bart and Lisa convince Grampa to let them use his name for episodes of ""Itchy and Scratchy"" they have written; Homer re-takes a test he failed in high school.    ",8.1
78,78,Whacking Day,Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.    ,8.1
79,79,Marge in Chains,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos.    ",7.7
80,80,Krusty Gets Kancelled,"When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown.    ",8.1
81,81,Homer's Barbershop Quartet,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps.    ",8.5
82,82,Cape Feare,"After being released from prison on parole, Sideshow Bob plots to murder Bart.    ",9.2
83,83,Homer Goes to College,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.    ",8.6
